time,id,group_id
0,1,1
0,2,1
0,3,2
0,4,3
0,5,1
0,6,1
0,7,4
0,8,4
0,9,1
0,10,3
0,11,3
0,12,3
0,13,3
0,14,5
0,15,5
0,16,5
0,21,4
0,22,4
0,25,5
0,213,6
0,214,6
0,215,6
0,216,6
0,217,2
0,218,2
0,219,2
0,220,2
0,273,1
0,409,4
10,1,1
10,2,1
10,3,7
10,4,3
10,5,8
10,6,4
10,7,4
10,8,4
10,9,9
10,10,3
10,11,3
10,12,3
10,13,3
10,14,5
10,15,5
10,16,5
10,21,10
10,22,10
10,23,11
10,25,12
10,213,6
10,214,6
10,215,6
10,216,6
10,217,2
10,218,11
10,219,2
10,220,2
10,273,9
10,409,13
20,1,1
20,2,1
20,3,7
20,4,11
20,5,8
20,6,4
20,7,4
20,8,4
20,9,9
20,10,3
20,11,3
20,12,3
20,13,3
20,14,5
20,15,5
20,16,5
20,17,14
20,21,10
20,22,10
20,23,11
20,25,12
20,213,6
20,214,6
20,215,6
20,216,6
20,217,2
20,218,2
20,219,2
20,220,2
20,273,9
20,409,13
30,1,1
30,2,1
30,3,7
30,4,11
30,5,8
30,6,4
30,7,4
30,8,4
30,9,9
30,10,3
30,11,3
30,12,3
30,13,3
30,14,5
30,15,5
30,16,5
30,17,14
30,18,13
30,21,10
30,22,10
30,23,11
30,25,12
30,213,6
30,214,6
30,215,6
30,216,6
30,217,2
30,218,2
30,219,2
30,220,2
30,273,9
30,409,13
40,1,1
40,2,1
40,3,7
40,4,3
40,5,8
40,6,4
40,7,4
40,8,4
40,9,9
40,10,3
40,11,3
40,12,3
40,13,3
40,14,5
40,15,5
40,16,5
40,17,14
40,18,4
40,21,10
40,22,10
40,23,3
40,24,11
40,25,12
40,213,6
40,214,6
40,215,6
40,216,6
40,217,2
40,218,11
40,219,2
40,220,2
40,273,9
40,409,13
50,1,1
50,2,1
50,3,7
50,4,3
50,5,8
50,6,15
50,7,4
50,8,4
50,9,9
50,10,3
50,11,3
50,12,3
50,13,3
50,14,5
50,15,5
50,16,5
50,17,14
50,18,4
50,19,15
50,21,10
50,22,10
50,23,11
50,24,16
50,25,12
50,74,5
50,75,3
50,213,6
50,214,6
50,215,6
50,216,6
50,217,2
50,218,2
50,219,2
50,220,2
50,273,9
50,409,13
60,1,1
60,2,1
60,3,7
60,4,3
60,5,8
60,6,13
60,7,4
60,8,4
60,9,9
60,10,3
60,11,3
60,12,3
60,13,3
60,14,5
60,15,5
60,16,5
60,17,14
60,18,4
60,19,13
60,21,2
60,22,2
60,23,11
60,24,11
60,25,12
60,74,17
60,75,3
60,76,3
60,213,6
60,214,6
60,215,6
60,216,6
60,217,2
60,218,18
60,219,2
60,220,2
60,273,9
60,409,13
70,1,1
70,2,1
70,3,7
70,4,18
70,5,8
70,6,13
70,7,4
70,8,4
70,9,5
70,10,3
70,11,3
70,12,3
70,13,3
70,14,5
70,15,5
70,16,5
70,17,14
70,18,4
70,19,13
70,21,2
70,22,2
70,23,11
70,24,11
70,25,12
70,74,17
70,75,3
70,76,3
70,213,6
70,214,6
70,215,6
70,216,6
70,217,2
70,218,18
70,219,2
70,220,2
70,273,9
70,274,5
70,409,13
80,1,1
80,2,1
80,3,7
80,4,3
80,5,8
80,6,13
80,7,14
80,8,4
80,9,9
80,10,3
80,11,3
80,12,3
80,13,3
80,14,5
80,15,5
80,16,5
80,17,14
80,18,4
80,19,13
80,21,2
80,22,2
80,23,11
80,24,11
80,25,12
80,74,17
80,75,3
80,76,3
80,213,6
80,214,6
80,215,6
80,216,6
80,217,2
80,218,18
80,219,2
80,220,2
80,273,9
80,274,9
80,409,13
90,1,7
90,2,1
90,3,7
90,4,3
90,5,8
90,6,15
90,7,4
90,8,4
90,9,9
90,10,3
90,11,3
90,12,3
90,13,3
90,14,5
90,15,5
90,16,5
90,17,14
90,18,19
90,19,15
90,20,15
90,21,10
90,22,10
90,23,11
90,24,11
90,25,12
90,74,17
90,75,3
90,76,3
90,213,6
90,214,6
90,215,6
90,216,6
90,217,2
90,218,18
90,219,2
90,220,2
90,273,9
90,274,9
90,409,13
100,1,7
100,3,7
100,4,3
100,5,8
100,6,13
100,7,4
100,8,4
100,9,9
100,10,3
100,11,3
100,12,3
100,13,3
100,14,5
100,15,5
100,16,5
100,17,14
100,18,19
100,19,13
100,20,13
100,21,10
100,22,10
100,23,11
100,24,11
100,25,12
100,74,17
100,75,3
100,76,3
100,213,6
100,214,6
100,215,6
100,216,6
100,217,2
100,218,18
100,219,2
100,220,2
100,273,9
100,274,9
100,409,13
110,1,7
110,3,7
110,4,3
110,5,8
110,7,4
110,8,4
110,9,9
110,10,3
110,11,3
110,12,3
110,13,3
110,14,5
110,15,5
110,16,5
110,17,4
110,18,15
110,19,15
110,20,15
110,21,10
110,22,10
110,23,11
110,24,11
110,25,12
110,74,5
110,75,3
110,76,3
110,213,6
110,214,6
110,215,6
110,216,6
110,217,2
110,218,18
110,219,2
110,220,2
110,273,9
110,274,9
110,409,13
120,1,7
120,3,7
120,4,3
120,5,8
120,7,4
120,8,4
120,9,9
120,10,3
120,11,3
120,12,3
120,13,3
120,14,5
120,15,20
120,16,5
120,17,4
120,18,15
120,19,15
120,20,15
120,21,10
120,22,10
120,23,11
120,24,21
120,25,12
120,74,17
120,75,3
120,76,3
120,214,6
120,215,6
120,216,6
120,217,2
120,218,18
120,219,2
120,220,2
120,273,9
120,274,5
120,409,13
130,1,1
130,3,7
130,4,3
130,5,8
130,7,4
130,8,4
130,9,9
130,10,3
130,11,3
130,12,3
130,13,3
130,14,5
130,15,1
130,16,5
130,17,4
130,18,15
130,19,15
130,20,15
130,21,10
130,22,10
130,23,11
130,24,21
130,25,12
130,74,17
130,75,3
130,76,3
130,214,6
130,215,6
130,216,6
130,217,2
130,218,18
130,219,2
130,220,2
130,273,9
130,274,5
130,409,13
140,1,1
140,3,7
140,4,3
140,5,8
140,7,4
140,8,4
140,9,9
140,10,3
140,11,3
140,12,3
140,13,3
140,14,5
140,15,5
140,16,5
140,17,4
140,18,2
140,19,13
140,20,13
140,21,10
140,22,10
140,23,11
140,24,21
140,25,12
140,26,5
140,74,17
140,75,3
140,76,3
140,215,6
140,216,6
140,217,2
140,218,18
140,219,2
140,220,2
140,273,9
140,274,9
140,409,13
150,1,1
150,3,7
150,4,3
150,5,8
150,7,4
150,8,4
150,9,9
150,10,3
150,11,3
150,12,3
150,13,3
150,14,5
150,15,5
150,16,5
150,17,4
150,18,2
150,19,15
150,20,15
150,21,10
150,22,10
150,23,11
150,24,21
150,25,12
150,26,22
150,28,15
150,74,17
150,75,3
150,76,3
150,215,6
150,216,6
150,217,2
150,218,18
150,219,2
150,220,2
150,273,9
150,274,9
150,409,2
160,3,7
160,4,3
160,5,8
160,7,4
160,8,4
160,9,9
160,10,3
160,11,3
160,12,3
160,13,3
160,14,5
160,15,5
160,16,5
160,17,4
160,18,2
160,19,15
160,20,15
160,21,10
160,22,10
160,23,11
160,24,21
160,25,12
160,26,22
160,28,15
160,74,17
160,75,3
160,76,3
160,215,6
160,216,6
160,217,2
160,219,2
160,220,2
160,273,9
160,274,9
160,409,2
170,3,7
170,4,23
170,5,8
170,7,4
170,8,4
170,9,9
170,10,3
170,11,3
170,12,3
170,13,3
170,14,5
170,15,5
170,16,5
170,17,4
170,18,2
170,19,15
170,20,15
170,21,10
170,22,10
170,23,11
170,24,21
170,25,12
170,26,22
170,27,10
170,28,15
170,74,17
170,75,3
170,76,3
170,215,6
170,216,6
170,217,2
170,219,2
170,220,2
170,273,9
170,274,9
170,409,2
180,3,5
180,4,23
180,5,8
180,7,4
180,8,4
180,9,9
180,10,3
180,11,3
180,12,3
180,13,3
180,14,5
180,15,5
180,16,5
180,17,4
180,19,15
180,20,15
180,21,10
180,22,10
180,23,11
180,24,21
180,25,12
180,26,22
180,27,24
180,28,15
180,29,10
180,74,17
180,75,23
180,76,23
180,217,12
180,219,2
180,220,2
180,273,9
180,274,9
180,409,2
190,3,5
190,4,23
190,5,8
190,7,4
190,8,4
190,9,9
190,10,3
190,11,3
190,12,3
190,13,3
190,14,5
190,15,5
190,16,5
190,17,4
190,19,15
190,20,15
190,21,10
190,22,10
190,23,11
190,24,21
190,25,12
190,26,22
190,27,24
190,28,15
190,29,24
190,30,15
190,74,17
190,75,3
190,76,3
190,77,23
190,78,23
190,217,2
190,219,2
190,220,2
190,273,9
190,274,9
190,409,2
200,3,5
200,4,23
200,5,8
200,7,4
200,8,4
200,9,9
200,10,3
200,11,3
200,12,3
200,13,3
200,14,5
200,15,5
200,16,5
200,17,4
200,19,15
200,20,15
200,21,10
200,22,10
200,23,11
200,24,21
200,25,12
200,26,22
200,27,24
200,28,25
200,29,24
200,30,25
200,74,17
200,75,23
200,76,23
200,77,23
200,78,23
200,217,2
200,219,2
200,220,2
200,273,26
200,274,9
200,409,2
210,3,5
210,4,23
210,5,8
210,7,4
210,8,4
210,9,9
210,10,3
210,11,3
210,12,3
210,13,3
210,14,5
210,15,5
210,16,5
210,17,27
210,19,15
210,20,15
210,21,10
210,22,10
210,23,11
210,24,21
210,25,4
210,26,22
210,27,24
210,28,25
210,29,24
210,30,25
210,74,17
210,75,23
210,76,23
210,77,23
210,78,23
210,217,2
210,219,2
210,220,2
210,273,26
210,274,9
210,409,2
220,3,7
220,4,23
220,5,8
220,7,4
220,8,4
220,9,9
220,10,3
220,11,3
220,12,3
220,13,3
220,14,5
220,15,5
220,16,5
220,17,27
220,19,15
220,20,15
220,22,10
220,23,11
220,24,21
220,25,4
220,26,22
220,27,24
220,28,25
220,29,24
220,30,25
220,31,28
220,74,17
220,75,23
220,76,23
220,77,23
220,78,23
220,217,2
220,219,29
220,220,2
220,273,26
220,274,9
220,409,2
230,3,7
230,4,23
230,5,8
230,7,4
230,8,4
230,9,9
230,10,3
230,11,3
230,12,3
230,13,3
230,14,5
230,15,5
230,16,5
230,17,4
230,19,15
230,20,15
230,23,3
230,24,21
230,25,4
230,26,22
230,27,15
230,28,25
230,29,15
230,30,25
230,31,28
230,73,17
230,74,17
230,75,23
230,76,23
230,77,23
230,78,23
230,217,2
230,219,21
230,220,2
230,273,9
230,409,2
240,3,7
240,4,23
240,5,8
240,7,4
240,8,4
240,9,9
240,10,3
240,11,3
240,12,3
240,13,3
240,14,5
240,15,5
240,16,5
240,17,4
240,19,15
240,20,15
240,23,3
240,24,21
240,25,4
240,26,22
240,27,15
240,28,25
240,29,15
240,30,25
240,31,28
240,73,17
240,74,17
240,75,23
240,76,23
240,77,23
240,78,23
240,217,2
240,219,21
240,220,2
240,273,9
240,419,30
240,420,30
250,3,9
250,4,23
250,5,8
250,7,4
250,8,4
250,9,9
250,10,3
250,11,3
250,12,3
250,13,3
250,14,5
250,15,5
250,16,5
250,17,4
250,19,15
250,20,15
250,23,3
250,24,21
250,25,4
250,26,22
250,27,15
250,28,25
250,29,15
250,30,25
250,31,28
250,73,17
250,74,17
250,75,23
250,76,23
250,77,23
250,78,23
250,217,2
250,219,21
250,220,2
250,419,30
250,420,30
260,3,9
260,4,23
260,5,8
260,7,4
260,8,4
260,9,9
260,10,3
260,11,3
260,12,3
260,13,3
260,14,5
260,15,5
260,16,5
260,17,4
260,19,15
260,20,15
260,23,3
260,24,21
260,25,4
260,26,22
260,27,24
260,28,25
260,29,15
260,30,25
260,31,28
260,32,31
260,73,17
260,74,17
260,75,23
260,76,23
260,77,23
260,78,23
260,217,2
260,219,29
260,220,2
260,419,21
260,420,21
270,3,9
270,4,23
270,5,8
270,7,4
270,8,4
270,9,9
270,10,3
270,11,3
270,12,3
270,13,3
270,14,5
270,16,5
270,17,4
270,19,15
270,20,15
270,23,11
270,24,21
270,25,4
270,26,22
270,27,15
270,28,25
270,29,15
270,30,25
270,31,28
270,32,28
270,73,17
270,74,17
270,75,23
270,76,23
270,77,23
270,78,23
270,217,2
270,219,29
270,220,2
270,419,21
270,420,21
280,3,9
280,4,23
280,7,4
280,8,4
280,9,9
280,10,3
280,11,3
280,12,3
280,13,3
280,14,5
280,16,5
280,17,4
280,19,15
280,20,15
280,23,11
280,24,21
280,25,4
280,26,22
280,27,15
280,28,25
280,29,15
280,30,25
280,31,28
280,32,28
280,73,17
280,74,17
280,75,23
280,76,23
280,77,23
280,78,23
280,217,2
280,219,29
280,220,2
280,419,30
280,420,30
290,3,9
290,4,23
290,7,4
290,8,4
290,9,9
290,10,3
290,11,3
290,12,3
290,13,3
290,14,5
290,16,5
290,17,4
290,19,15
290,20,15
290,23,11
290,24,21
290,25,4
290,26,22
290,27,15
290,28,25
290,29,15
290,30,25
290,31,28
290,32,28
290,73,17
290,74,17
290,75,23
290,76,23
290,77,23
290,78,23
290,217,2
290,219,29
290,220,32
290,419,30
290,420,30
300,3,9
300,4,23
300,7,4
300,8,4
300,10,3
300,11,11
300,12,3
300,13,3
300,14,5
300,16,5
300,17,4
300,19,15
300,20,15
300,23,11
300,24,21
300,25,22
300,26,22
300,27,15
300,28,25
300,29,15
300,30,25
300,31,28
300,32,28
300,73,17
300,74,17
300,75,23
300,76,23
300,77,23
300,78,23
300,79,33
300,217,2
300,219,29
300,220,2
300,419,30
300,420,30
310,3,9
310,4,23
310,7,4
310,8,4
310,10,3
310,11,11
310,12,3
310,13,3
310,17,4
310,19,15
310,20,15
310,23,11
310,25,22
310,26,22
310,27,15
310,28,25
310,29,15
310,30,25
310,31,28
310,32,28
310,73,17
310,74,9
310,75,23
310,76,23
310,77,23
310,78,23
310,79,33
310,217,2
310,219,29
310,220,2
310,419,30
310,420,30
320,3,9
320,4,23
320,7,4
320,8,4
320,10,3
320,11,11
320,12,3
320,13,3
320,17,34
320,19,15
320,20,15
320,23,11
320,25,4
320,26,4
320,27,15
320,28,25
320,29,15
320,30,25
320,31,28
320,32,28
320,73,17
320,74,9
320,75,23
320,76,23
320,77,23
320,78,23
320,79,33
320,217,2
320,219,29
320,220,29
320,315,35
320,419,30
320,420,30
330,3,9
330,4,23
330,7,4
330,8,4
330,10,3
330,11,11
330,12,3
330,13,3
330,17,34
330,19,15
330,20,15
330,23,11
330,25,4
330,26,22
330,27,15
330,28,25
330,29,15
330,30,25
330,31,28
330,32,28
330,73,17
330,74,36
330,75,23
330,76,23
330,77,23
330,78,23
330,79,33
330,80,37
330,82,36
330,217,2
330,219,29
330,220,32
330,315,35
330,419,30
330,420,30
340,3,9
340,4,23
340,7,4
340,8,4
340,10,3
340,11,3
340,12,3
340,13,3
340,17,34
340,19,15
340,20,15
340,23,9
340,25,4
340,26,22
340,27,15
340,28,25
340,29,15
340,30,25
340,31,28
340,32,28
340,73,17
340,74,9
340,75,2
340,76,23
340,77,23
340,78,23
340,79,33
340,80,37
340,81,37
340,82,17
340,217,2
340,219,29
340,220,32
340,315,35
340,419,30
340,420,30
350,3,9
350,4,23
350,7,4
350,8,4
350,10,3
350,11,3
350,12,3
350,13,3
350,19,15
